texts/belsky_voploshchenie_idey.txt	Воплощение идей: как преодолеть разрыв между видением и реальностью		Белски	род. 1980	Читается за 13 минут				Американская литература->США
texts/belyj_peterburg.txt	Петербург	1915	Белый	1880–1934	Читается за 15 минут	14 ч	Н. Д. Александров	181	Русская литература->Советская
texts/belyj_kotik_letaev.txt	Котик Летаев	1915	Белый	1880–1934	Читается за 9 минут		Н. Д. Александров	181	Русская литература->Советская
texts/belyj_serebrjanyj_golub.txt	Серебряный голубь	1915	Белый	1880–1934	Читается за 9 минут	9 ч	Н. Д. Александров	181	Русская литература->Советская
texts/beliaev_vp_staraia_krepost.txt	Старая крепость		Беляев_1	1909–1990	Читается за 20 минут	22 ч			Русская литература->Советская
texts/benavente_igra_interesov.txt	Игра интересов		Бенавенте-и-Мартинес	1866–1954	Читается за 7 минут	1,5 ч			Европейская литература->Испанская
texts/benn_ptolemeec.txt	Птолемеец		Бенн	1886–1956	Читается за 8 минут		В. В. Рынкевич	rynkevich	Европейская литература->Немецкая
texts/bergman_kloun_jak.txt	Клоун Як		Бергман	1883–1931	Читается за 10 минут				Скандинавская литература->Шведская
texts/berdzhess_zavodnoj_apelsin.txt	Заводной апельсин		Бёрджесс	1917–1993	Читается за 7 минут	3,5 ч	Л. Б. Шамшин	152	Европейская литература->Британская
texts/berzherak_inoj_svet_ili_gosudarstva_i_imperii_luny.txt	Иной свет, или Государства и империи Луны		Бержерак	1619–1655	Читается за 11 минут	3,5 ч			Европейская литература->Французская
texts/bernanos_pod_solncem_satany.txt	Под солнцем Сатаны		Бернанос	1888–1948	Читается за 10 минут	8 ч			Европейская литература->Французская
texts/sen-per_pol_i_virginija.txt	Поль и Виргиния		Бернарден	1737–1814	Читается за 12 минут				Европейская литература->Французская
texts/berrouz_torchok.txt	Джанки. Исповедь неисправимого наркомана		Берроуз	1914–1997	Читается за 9 минут	6 ч	Д. А. Карельский	karelsky	Американская литература->США
texts/birsel_zhizn_kak_konstruktor.txt	Жизнь как конструктор: выдели главное, убери лишнее и создай жизнь, которая тебя вдохновляет		Берсел		Читается за 8 минут		Сергей Багузин	260	Американская литература->США
texts/bestuzhev_ammalat-bek.txt	Аммалат-Бек	1831	Бестужев-Марлинский	1797–1837	Читается за 8 минут	4 ч	Л. Б. Шамшин	152	Русская литература->19 век
texts/bestuzhev_ispytanie.txt	Испытание	1831	Бестужев-Марлинский	1797–1837	Читается за 7 минут	2 ч			Русская литература->19 век
texts/bestuzhev_fregat_nadezhda.txt	Фрегат «Надежда»	1831	Бестужев-Марлинский	1797–1837	Читается за 6 минут	3,5 ч	Л. Б. Шамшин	152	Русская литература->19 век
texts/bzhekhva_akademiia_pana_kliaksy.txt	Академия пана Кляксы		Бжехва	1898–1966	Читается за 20 минут	2 ч			Европейская литература->Польская
texts/bianki_murzuk.txt	Мурзук	1927	Бианки	1894–1959	Читается за 11 минут				Русская литература->Советская
texts/bianki_odinetc.txt	Одинец	1927	Бианки	1894–1959	Читается за 8 минут				Русская литература->Советская
texts/bianki_askyr.txt	Аскыр	1927	Бианки	1894–1959	Читается за 12 минут				Русская литература->Советская
texts/bitov_pushkinsky_dom.txt	Пушкинский дом		Битов	род. 1937	Читается за 9 минут	13 ч			Русская литература->Современная
texts/bitov_uletajucshij_monahov.txt	Улетающий Монахов		Битов	род. 1937	Читается за 8 минут	7 ч			Русская литература->Современная
texts/bicher-stou_hizhina_djadi_toma.txt	Хижина дяди Тома		Бичер-Стоу	1811–1896	Читается за 10 минут	9 ч			Американская литература->США
texts/bien_zalozhnik.txt	Заложник		Биэн	1923–1964	Читается за 8 минут		Д. А. Карельский	karelsky	Британская литература->Ирландская
texts/blanchard_odnominutnyy_menedzher.txt	Одноминутный менеджер		Бланшар	род. 1939	Читается за 6 минут	1,5 ч			Американская литература->США
texts/ibanes_krov_i_pesok.txt	Кровь и песок		Бласко Ибаньес	1867–1928	Читается за 10 минут				Европейская литература->Испанская
texts/blok_dvenadcat.txt	Двенадцать	1906	Блок	1880–1921	Читается за 4 минуты	7 мин	Л. А. Данилкин	151	Русская литература->19 век
texts/blok_intelligentsija_i_revoljutsija.txt	Интеллигенция и революция	1906	Блок	1880–1921	Читается за 5 минут	20 мин			Русская литература->19 век
texts/blok_neznakomka.txt	Незнакомка	1906	Блок	1880–1921	Читается за 3 минуты	30 мин			Русская литература->19 век
texts/blok_balaganchik.txt	Балаганчик	1906	Блок	1880–1921	Читается за 4 минуты	13 мин			Русская литература->19 век
texts/blok_roza_i_krest.txt	Роза и крест	1906	Блок	1880–1921	Читается за 4 минуты		А. Б. Мокроусов	41	Русская литература->19 век
texts/bo_pu_verkhom_u_ogrady.txt	Пэй Шаоцзюнь верхом у ограды		Бо_1	1226–1306	Читается за 2 минуты		В. Ф. Сорокин	sorokin	Прочая литература->Китайская
texts/bo_pu_dozhd_v_platanakh.txt	Ян-гуйфэй утром вкушает ароматные ли чжи; танский государь осенней ночью слышит дождь в платанах		Бо_1	1226–1306	Читается за 3 минуты		В. Ф. Сорокин	sorokin	Прочая литература->Китайская
texts/bo_sinczjan_povest_o_krasavice_li.txt	Повесть о красавице Ли		Бо_3	776–826	Читается за 3 минуты		И. С. Смирнов	smirnov	Прочая литература->Китайская
texts/boborykin_zhertva_vechernjaja.txt	Жертва вечерняя		Боборыкин	1836–1921	Читается за 9 минут	8 ч	С. И. Чупринин	208	Русская литература->19 век
texts/boborykin_kitaj-gorod.txt	Китай-город		Боборыкин	1836–1921	Читается за 15 минут	12 ч	С. И. Чупринин	208	Русская литература->19 век
texts/bovuar_prelestnye_kartinki.txt	Прелестные картинки		Бовуар	1908–1986	Читается за 8 минут	3,5 ч			Европейская литература->Французская
