"X123_part1" "X123_part2" "X123_part3" "X123_part4" "X152_part1" "X152_part2" "X165_part1" "X165_part2" "X226_part1" "X226_part2" "X226_part3" "X227_part1" "X227_part2" "X233_part1" "X233_part2" "belov_part1" "belov_part2" "belov_part3" "belov_part4" "belov_part5" "erkhov_part1" "erkhov_part2" "erkhov_part3" "erkhov_part4" "gasparov_part1" "gasparov_part2" "gasparov_part3" "gasparov_part4" "gasparov_part5" "gasparov_part6" "gasparov_part7" "gasparov_part8" "gasparov_part9" "karelsky_part1" "karelsky_part2" "karelsky_part3" "karelsky_part4" "karelsky_part5" "karelsky_part6" "karelsky_part7" "karelsky_part8" "karelsky_part9" "kostyrko_part1" "kostyrko_part2" "rynkevich_part1" "rynkevich_part2" "rynkevich_part3" "sanovich_part1" "sanovich_part2" "sanovich_part3" "sanovich_part4" "shishkin_part1" "shishkin_part2" "shishkin_part3" "shishkin_part4" "shishkin_part5" "smirnov_part1" "smirnov_part2" "smirnov_part3" "smirnov_part4" "zhidkov_part1" "zhidkov_part2" "zhivotovsky_part1" "zhivotovsky_part2"
"себя" 0.36 0.28 0.22 0.46 0.16 0.32 0.2 0.28 0.22 0.42 0.3 0.26 0.3 0.36 0.44 0.32 0.3 0.32 0.24 0.3 0.48 0.26 0.64 0.32 0.16 0.18 0.14 0.24 0.2 0.28 0.4 0.3 0.3 0.3 0.24 0.32 0.24 0.36 0.4 0.28 0.22 0.32 0.16 0.2 0.38 0.34 0.3 0.6 0.38 0.4 0.5 0.48 0.2 0.32 0.24 0.4 0.4 0.28 0.34 0.4 0.34 0.18 0.2 0.2
"один" 0.3 0.14 0.24 0.28 0.28 0.3 0.34 0.34 0.14 0.46 0.22 0.7 0.28 0.34 0.42 0.34 0.4 0.16 0.2 0.3 0.16 0.26 0.36 0.26 0.3 0.36 0.38 0.36 0.26 0.44 0.26 0.28 0.2 0.38 0.38 0.26 0.22 0.2 0.34 0.32 0.28 0.3 0.26 0.24 0.16 0.18 0.16 0.26 0.34 0.24 0.34 0.22 0.14 0.14 0.14 0.14 0.36 0.26 0.26 0.32 0.36 0.24 0.34 0.18
"когда" 0.32 0.22 0.3 0.18 0.24 0.2 0.14 0.16 0.18 0.16 0.18 0.18 0.12 0.34 0.46 0.22 0.36 0.18 0.18 0.34 0.22 0.24 0.24 0.22 0.22 0.3 0.26 0.18 0.32 0.2 0.42 0.18 0.34 0.28 0.28 0.44 0.28 0.32 0.4 0.42 0.64 0.54 0.34 0.18 0.22 0.3 0.36 0.42 0.68 0.34 0.4 0.24 0.06 0.26 0.32 0.28 0.22 0.3 0.24 0.18 0.16 0.18 0.38 0.34
"становиться" 0.14 0.2 0.2 0.34 0.24 0.22 0.28 0.18 0.26 0.14 0.2 0.34 0.24 0.22 0.16 0.28 0.3 0.18 0.34 0.3 0.14 0.14 0.28 0.14 0.22 0.18 0.12 0.06 0.26 0.2 0.24 0.16 0.2 0.34 0.34 0.38 0.18 0.38 0.3 0.24 0.48 0.28 0.24 0.1 0.4 0.38 0.28 0.24 0.34 0.34 0.32 0.22 0.36 0.14 0.28 0.36 0.2 0.18 0.22 0.36 0.28 0.24 0.24 0.2
"чтобы" 0.22 0.18 0.18 0.2 0.46 0.18 0.06 0.08 0.16 0.18 0.26 0.14 0.04 0.22 0.3 0.34 0.18 0.28 0.32 0.26 0.22 0.34 0.26 0.3 0.2 0.26 0.26 0.24 0.2 0.18 0.24 0.08 0.26 0.14 0.24 0.14 0.32 0.08 0.18 0.28 0.1 0.18 0.1 0.14 0.12 0.34 0.44 0.72 0.26 0.32 0.46 0.28 0.36 0.26 0.36 0.34 0.16 0.18 0.2 0.22 0.32 0.22 0.16 0.14
"так" 0.18 0.08 0.3 0.3 0.24 0.32 0.12 0.08 0.44 0.24 0.24 0.44 0.26 0.16 0.28 0.18 0.26 0.24 0.18 0.14 0.2 0.3 0.24 0.24 0.2 0.26 0.34 0.14 0.3 0.3 0.16 0.14 0.2 0.22 0.22 0.26 0.24 0.22 0.22 0.28 0.12 0.32 0.22 0.2 0.2 0.14 0.14 0.22 0.18 0.2 0.28 0.38 0.24 0.08 0.3 0.28 0.16 0.26 0.28 0.26 0.34 0.08 0.18 0.16
"для" 0.2 0.34 0.28 0.34 0.18 0.36 0.16 0.2 0.16 0.08 0.04 0.16 0.18 0.16 0.08 0.24 0.24 0.24 0.22 0.16 0.26 0.34 0.28 0.28 0.06 0.32 0.28 0.2 0.34 0.16 0.16 0.02 0.24 0.12 0.24 0.18 0.22 0.26 0.2 0.16 0.34 0.44 0.28 0.38 0.26 0.22 0.12 0.44 0.28 0.28 0.1 0.22 0.18 0.3 0.28 0.18 0.12 0.24 0.06 0.16 0.26 0.6 0.22 0.2
"дом" 0.22 0.3 0.14 0.24 0.12 0.08 0.34 0.18 0.08 0.04 0.38 0.22 0.16 0.26 0.22 0.26 0.12 0.2 0.3 0.16 0.46 0.42 0.08 0.24 0.04 0.08 0.08 0.04 0.12 0.3 0.1 0.06 0.22 0.36 0.46 0.08 0.16 0.04 0.06 0.32 0.32 0.24 0.08 0.22 0.06 0.1 0.1 0.28 0.22 0.32 0.32 0.1 0.32 0.46 0.06 0.22 0.52 0.34 0.4 0.4 0.06 0.04 0.3 0.18
"только" 0.26 0.22 0.2 0.22 0.24 0.22 0.14 0.1 0.3 0.18 0.14 0.2 0.22 0.14 0.22 0.12 0.14 0.16 0.14 0.12 0.26 0.2 0.3 0.2 0.14 0.16 0.32 0.22 0.32 0.26 0.2 0.16 0.22 0.22 0.16 0.34 0.26 0.26 0.24 0.26 0.26 0.22 0.34 0.28 0.14 0.08 0.18 0.22 0.3 0.16 0.14 0.14 0.06 0.18 0.12 0.14 0.2 0.26 0.5 0.32 0.12 0.2 0.26 0.18
"мочь" 0.18 0.14 0.24 0.22 0.26 0.24 0.16 0.14 0.18 0.16 0.06 0.16 0.14 0.24 0.2 0.18 0.26 0.14 0.24 0.12 0.18 0.32 0.2 0.3 0.12 0.08 0.06 0.18 0.16 0.1 0.06 0.14 0.12 0.14 0.32 0.2 0.22 0.3 0.16 0.12 0.1 0.3 0.28 0.22 0.26 0.24 0.14 0.26 0.42 0.38 0.18 0.18 0.2 0.22 0.32 0.3 0.24 0.3 0.22 0.12 0.28 0.26 0.12 0.12
